+COORDENADAS DE LA SILUETA — BRATTYPOLITAN EXPERIENCE
Referencia curada V2: mujer constelación. Coordenadas normalizadas 0–1.
FORMATO: ID | X_norm | Y_norm | brillo_0_255 | grupo | tamano
GRUPOS: cabello, rostro, facciones, cuerpo.
Nota: sólo se incluyen conexiones detectadas de los trazos; los puntos aislados conservan aire y detalle.

PUNTOS
0236 | 0.238667 | 0.333073 | 98 | cabello | 2.3
0237 | 0.901333 | 0.729476 | 81 | cabello | 2.1
0238 | 0.348000 | 0.215794 | 94 | cabello | 2.2
0239 | 0.513333 | 0.268178 | 79 | cabello | 2.1
0240 | 0.542667 | 0.337764 | 79 | rostro | 2.1
0241 | 0.681333 | 0.468335 | 98 | rostro | 2.3
0242 | 0.746667 | 0.631744 | 79 | cabello | 2.1
0243 | 0.349333 | 0.482408 | 75 | rostro | 2.0
0244 | 0.652000 | 0.662236 | 75 | cuerpo | 2.0
0245 | 0.380000 | 0.380766 | 69 | rostro | 2.0
0246 | 0.797333 | 0.663800 | 79 | cabello | 2.1
0247 | 0.398667 | 0.288507 | 80 | rostro | 2.1
0248 | 0.696000 | 0.244722 | 72 | cabello | 2.0
0249 | 0.906667 | 0.687256 | 81 | cabello | 2.1
0250 | 0.792000 | 0.354965 | 82 | cabello | 2.1
0251 | 0.341333 | 0.389367 | 77 | facciones | 2.0
0252 | 0.566667 | 0.448006 | 77 | facciones | 2.0
0253 | 0.296000 | 0.534793 | 82 | rostro | 2.1
0254 | 0.605333 | 0.660672 | 77 | cuerpo | 2.0
0255 | 0.302667 | 0.237686 | 92 | cabello | 2.2
0256 | 0.317333 | 0.523847 | 85 | rostro | 2.1
0257 | 0.666667 | 0.221267 | 70 | cabello | 2.0
0258 | 0.265333 | 0.517592 | 255 | cabello | 4.0
0259 | 0.161333 | 0.471462 | 255 | cabello | 4.0
0260 | 0.506667 | 0.698202 | 255 | cuerpo | 4.0
0261 | 0.157333 | 0.570758 | 255 | cabello | 4.0
0262 | 0.382667 | 0.620798 | 255 | cuerpo | 4.0
0263 | 0.366667 | 0.811572 | 255 | cabello | 4.0
0264 | 0.382667 | 0.759187 | 255 | cabello | 4.0
0265 | 0.082667 | 0.729476 | 255 | cabello | 4.0
0266 | 0.268000 | 0.526192 | 255 | cabello | 4.0
0267 | 0.385333 | 0.648163 | 255 | cuerpo | 4.0
0268 | 0.428000 | 0.559030 | 255 | facciones | 4.0
0269 | 0.537333 | 0.614543 | 255 | rostro | 4.0
0270 | 0.170667 | 0.404222 | 255 | cabello | 4.0
0271 | 0.157333 | 0.509773 | 255 | cabello | 4.0
0272 | 0.185333 | 0.689601 | 255 | cabello | 4.0
0273 | 0.516000 | 0.573104 | 255 | facciones | 4.0
0274 | 0.524000 | 0.562940 | 255 | facciones | 4.0
0275 | 0.272000 | 0.805317 | 255 | cabello | 4.0
0276 | 0.477333 | 0.548084 | 255 | facciones | 4.0
0277 | 0.365333 | 0.635653 | 255 | cuerpo | 4.0
0278 | 0.145333 | 0.453479 | 255 | cabello | 4.0
0279 | 0.509333 | 0.548084 | 255 | facciones | 4.0
0280 | 0.356000 | 0.785770 | 255 | cabello | 4.0
0281 | 0.508000 | 0.564504 | 255 | facciones | 4.0
0282 | 0.308000 | 0.486317 | 255 | rostro | 4.0
0283 | 0.168000 | 0.595778 | 255 | cabello | 4.0
0284 | 0.172000 | 0.800625 | 255 | cabello | 4.0
0285 | 0.310667 | 0.463643 | 255 | rostro | 4.0
0286 | 0.218667 | 0.314308 | 255 | cabello | 4.0
0287 | 0.129333 | 0.489445 | 255 | cabello | 4.0
0288 | 0.328000 | 0.544175 | 255 | rostro | 4.0
0289 | 0.198667 | 0.727912 | 255 | cabello | 4.0
0290 | 0.156000 | 0.549648 | 255 | cabello | 4.0
0291 | 0.650667 | 0.546521 | 255 | rostro | 4.0
0292 | 0.596000 | 0.695074 | 255 | cuerpo | 4.0
0293 | 0.453333 | 0.562158 | 255 | facciones | 4.0
0294 | 0.240000 | 0.777170 | 255 | cabello | 4.0
0295 | 0.493333 | 0.611415 | 255 | rostro | 4.0
0296 | 0.470667 | 0.564504 | 255 | facciones | 4.0
0297 | 0.560000 | 0.556685 | 255 | facciones | 4.0
0298 | 0.493333 | 0.550430 | 255 | facciones | 4.0
0299 | 0.253333 | 0.818608 | 255 | cabello | 4.0
0300 | 0.321333 | 0.415168 | 255 | rostro | 4.0
0301 | 0.128000 | 0.587178 | 255 | cabello | 4.0
0302 | 0.057333 | 0.678655 | 255 | cabello | 4.0
0303 | 0.484000 | 0.565285 | 255 | facciones | 4.0
0304 | 0.241333 | 0.853010 | 255 | cabello | 4.0
0305 | 0.138667 | 0.462080 | 255 | cabello | 4.0
0306 | 0.178667 | 0.626270 | 255 | cabello | 4.0
0307 | 0.368000 | 0.837373 | 255 | cabello | 4.0
0308 | 0.252000 | 0.310399 | 255 | cabello | 4.0
0309 | 0.160000 | 0.646599 | 255 | cabello | 4.0
0310 | 0.388000 | 0.680219 | 255 | cuerpo | 4.0
0311 | 0.146667 | 0.574668 | 255 | cabello | 4.0
0312 | 0.493333 | 0.560594 | 255 | facciones | 4.0
0313 | 0.330667 | 0.661454 | 255 | cabello | 4.0
0314 | 0.568000 | 0.697420 | 255 | cuerpo | 4.0
0315 | 0.466667 | 0.573886 | 255 | facciones | 4.0
0316 | 0.166667 | 0.415950 | 255 | cabello | 4.0
0317 | 0.157333 | 0.616106 | 255 | cabello | 4.0
0318 | 0.104000 | 0.740422 | 255 | cabello | 4.0
0319 | 0.150667 | 0.522283 | 255 | cabello | 4.0
0320 | 0.452000 | 0.552776 | 255 | facciones | 4.0
0321 | 0.141333 | 0.555121 | 255 | cabello | 4.0
0322 | 0.172000 | 0.612197 | 255 | cabello | 4.0
0323 | 0.114667 | 0.718530 | 255 | cabello | 4.0
0324 | 0.233333 | 0.302580 | 255 | cabello | 4.0
0325 | 0.232000 | 0.324472 | 255 | cabello | 4.0
0326 | 0.204000 | 0.685692 | 255 | cabello | 4.0
0327 | 0.145333 | 0.584832 | 255 | cabello | 4.0
0328 | 0.164000 | 0.793589 | 255 | cabello | 4.0
